,id_aeroporto,data,C_data,A_effettoSulVolo,id_specie_volatile_c,id_gruppo,C_numeroVolatiliColpiti,C_partiColpite
461,7,2013-08-19 00:00:00,2013-08-19 08:08:00,Nessuno,7,6.0,1.0,Nose
473,7,2013-09-11 00:00:00,2013-09-11 16:34:00,,7,6.0,1.0,
474,7,2013-09-18 00:00:00,2013-09-14 10:51:00,Atterraggio precauzionale,25,13.0,1.0,Engine 1
475,7,2013-08-19 00:00:00,2013-08-19 18:23:00,,7,6.0,1.0,Windshield
478,7,2013-08-11 00:00:00,2013-08-11 11:01:00,,14,12.0,,
480,7,2013-10-01 00:00:00,2013-10-01 09:03:00,,36,5.0,1.0,
481,7,2013-10-04 00:00:00,2013-10-04 15:27:00,Nessuno,1453,7.0,1.0,
515,7,2013-12-29 00:00:00,2013-12-30 16:14:00,,5,3.0,1.0,Landing Gear
574,7,2014-03-20 00:00:00,2014-03-20 09:27:00,,25,13.0,1.0,Nose
592,7,2014-04-25 00:00:00,2014-04-25 12:10:00,Nessuno,14,12.0,1.0,Nose
594,7,2014-05-03 00:00:00,2014-05-03 08:32:00,Nessuno,39,5.0,1.0,
603,7,2014-05-08 00:00:00,2014-05-08 07:26:00,Nessuno,2,7.0,1.0,
616,7,2014-05-21 00:00:00,2014-05-21 16:43:00,,7,6.0,1.0,Nose
623,7,2014-05-30 00:00:00,2014-05-30 10:30:00,,13,12.0,1.0,Fuselage
655,7,2014-06-17 00:00:00,2014-06-17 20:51:00,,13,12.0,1.0,
683,7,2014-07-07 00:00:00,2014-07-07 21:52:00,Nessuno,25,13.0,1.0,Radome
732,7,2014-08-18 00:00:00,2014-08-18 07:01:00,,23,5.0,1.0,
739,7,2014-08-25 00:00:00,2014-07-11 08:51:00,Nessuno,25,13.0,1.0,Landing Gear
792,7,2014-11-17 00:00:00,2014-11-17 12:11:00,,2,7.0,1.0,
797,7,2014-12-12 00:00:00,2014-12-12 12:57:00,,15,15.0,3.0,
801,7,2014-12-16 00:00:00,2014-12-16 12:30:00,,2,7.0,1.0,
822,7,2015-02-22 00:00:00,2015-02-22 13:43:00,,38,8.0,3.0,Windshield
833,7,2015-03-02 00:00:00,2015-03-02 09:00:00,,38,8.0,1.0,Wing/Rotor
853,7,2015-03-18 00:00:00,2015-03-14 11:00:00,Nessuno,25,13.0,1.0,Engine 2
885,7,2015-05-04 00:00:00,2015-04-07 08:30:00,,1466,6.0,1.0,
1010,7,2015-08-17 00:00:00,2015-08-17 14:59:00,,7,6.0,1.0,Landing Gear
1013,7,2015-08-19 00:00:00,2015-08-19 12:32:00,,14,12.0,1.0,Nose
1039,7,2015-09-17 00:00:00,2015-07-08 22:20:00,,25,13.0,1.0,
1040,7,2015-07-12 00:00:00,2015-07-12 06:39:00,,25,13.0,,Tail
1041,7,2015-07-14 00:00:00,2015-07-14 09:00:00,Nessuno,25,13.0,1.0,Nose
1043,7,2015-09-21 00:00:00,2015-09-21 11:41:00,,7,6.0,1.0,Engine 1
1059,7,2015-10-04 00:00:00,2015-10-04 09:04:00,,2,7.0,1.0,Nose
1102,7,2016-03-19 00:00:00,2016-03-19 16:07:00,,816,6.0,1.0,Nose
