,id_aeroporto,data,data_,effettoSulVolo,id_specie_volatile,id_gruppo,coinvolti,parti_colpite
117,7,2015-02-03 00:00:00,2015-02-03 14:20:00,,7,6.0,1.0,
118,7,2015-02-09 17:00:19,2015-02-09 17:00:19,,23,5.0,1.0,
119,7,2015-02-22 00:00:00,2015-02-22 13:43:00,,38,8.0,3.0,
120,7,2015-02-27 00:00:00,2015-02-26 17:45:00,,7,6.0,1.0,
121,7,2015-03-02 00:00:00,2015-03-02 09:18:00,,38,8.0,1.0,
122,7,2015-03-09 07:38:04,2015-03-09 07:38:04,,38,8.0,1.0,
123,7,2015-03-26 10:40:16,2015-03-26 10:40:16,,38,8.0,1.0,
124,7,2015-05-17 12:46:53,2015-05-17 12:46:53,,13,12.0,1.0,
125,7,2015-06-05 05:57:57,2015-06-05 05:57:57,,23,5.0,1.0,
126,7,2015-06-07 09:42:16,2015-06-07 09:42:16,,13,12.0,1.0,
127,7,2015-06-13 20:49:22,2015-06-13 20:49:22,,13,12.0,1.0,
128,7,2015-06-14 18:47:35,2015-06-14 18:47:35,,7,6.0,1.0,
129,7,2015-06-17 14:33:40,2015-06-17 14:33:40,,7,6.0,1.0,
130,7,2015-07-01 00:00:00,2015-07-01 08:00:00,Nessuno,7,6.0,1.0,
131,7,2015-07-10 18:33:55,2015-07-10 18:33:55,,14,12.0,2.0,
132,7,2015-07-31 08:20:55,2015-07-31 08:20:55,,14,12.0,1.0,
133,7,2015-08-17 00:00:00,2015-08-17 15:30:00,,7,6.0,1.0,
134,7,2015-08-19 00:00:00,2015-08-19 12:47:00,,14,12.0,1.0,
135,7,2015-08-24 13:51:06,2015-08-24 13:51:06,,14,12.0,2.0,
136,7,2015-08-30 19:44:47,2015-08-30 19:44:47,,23,5.0,1.0,
137,7,2015-09-12 00:00:00,2015-09-12 14:46:00,,378,12.0,1.0,
139,7,2015-09-21 00:00:00,2015-09-21 11:41:00,,7,6.0,1.0,
140,7,2015-10-04 00:00:00,2015-10-04 09:09:00,,2,7.0,1.0,
141,7,2015-10-15 00:00:00,2015-10-15 16:50:00,,1453,7.0,1.0,
142,7,2015-10-18 10:26:41,2015-10-18 10:26:41,,7,6.0,1.0,
143,7,2015-10-22 00:00:00,2015-10-22 22:30:00,,31,17.0,1.0,
144,7,2015-12-02 00:00:00,2015-12-02 16:57:00,,38,8.0,1.0,
145,7,2015-12-12 00:00:00,2015-12-12 11:35:00,,1440,10.0,2.0,
146,7,2015-12-14 00:00:00,2015-12-14 08:22:00,,38,8.0,1.0,
147,7,2015-12-23 00:00:00,2015-12-23 10:31:00,,38,8.0,4.0,
148,7,2016-01-14 12:37:39,2016-01-14 12:37:39,,38,8.0,1.0,
149,7,2016-03-19 00:00:00,2016-03-19 16:16:00,,816,6.0,1.0,
150,7,2016-04-24 00:00:00,2016-04-24 10:26:00,,14,12.0,1.0,
151,7,2016-05-24 18:58:11,2016-05-24 18:58:11,,13,12.0,2.0,
152,7,2016-05-30 19:09:49,2016-05-30 19:09:49,,16,15.0,1.0,
153,7,2016-06-02 18:17:20,2016-06-02 18:17:20,,13,12.0,1.0,
154,7,2016-07-05 19:16:03,2016-07-05 19:16:03,,40,15.0,1.0,
155,7,2016-07-29 00:00:00,2016-07-29 17:47:00,,14,12.0,1.0,
156,7,2016-08-06 13:30:50,2016-08-06 13:30:50,,14,12.0,1.0,
157,7,2016-08-07 09:32:22,2016-08-07 09:32:22,,14,12.0,3.0,
158,7,2016-08-11 17:05:16,2016-08-11 17:05:16,,14,12.0,1.0,
159,7,2016-08-12 00:00:00,2016-08-12 12:23:00,,14,12.0,1.0,
160,7,2016-08-13 10:51:30,2016-08-13 10:51:30,,14,12.0,1.0,
161,7,2016-08-13 10:59:15,2016-08-13 10:59:15,,14,12.0,1.0,
162,7,2016-08-13 00:00:00,2016-08-13 11:01:00,,14,12.0,1.0,
163,7,2016-08-18 00:00:00,2016-08-18 18:19:00,,1301,14.0,4.0,
