,id_aeroporto,data,D_data,A_effettoSulVolo,id_specie_volatile_d,id_gruppo,D_numeroVolatili
863,7,2012-08-03 00:00:00,2012-08-03 19:36:00,,16,15.0,1.0
865,7,2012-08-04 00:00:00,2012-08-04 14:25:00,,4,3.0,1.0
866,7,2012-08-04 18:35:42,2012-08-04 18:35:42,,7,6.0,1.0
875,7,2012-08-09 10:32:03,2012-08-09 10:32:03,,14,12.0,1.0
882,7,2012-08-10 13:38:47,2012-08-10 13:38:47,,14,12.0,1.0
883,7,2012-08-10 18:40:09,2012-08-10 18:40:09,,14,12.0,1.0
910,7,2012-08-23 00:00:00,2012-08-23 10:30:00,Nessuno,14,12.0,1.0
924,7,2012-08-25 18:44:29,2012-08-25 18:44:29,,14,12.0,1.0
927,7,2012-08-29 07:54:35,2012-08-29 07:54:35,,7,6.0,1.0
932,7,2012-08-30 10:07:46,2012-08-30 10:07:46,,14,12.0,1.0
941,7,2012-09-01 08:59:38,2012-09-01 08:59:38,,14,12.0,1.0
944,7,2012-09-02 00:00:00,2012-09-02 14:33:00,,14,12.0,1.0
946,7,2012-09-03 00:00:00,2012-09-03 06:10:00,,31,17.0,1.0
948,7,2012-09-04 00:00:00,2012-09-04 10:50:00,Nessuno,14,12.0,1.0
960,7,2012-09-10 00:00:00,2012-09-10 16:30:00,,1440,10.0,1.0
977,7,2012-09-17 00:00:00,2012-09-17 15:02:00,,7,6.0,1.0
997,7,2012-09-26 11:35:01,2012-09-26 11:35:01,,7,6.0,1.0
1000,7,2012-09-27 00:00:00,2012-09-27 16:30:00,,2,7.0,1.0
1005,7,2012-09-28 00:00:00,2012-09-28 17:19:00,Nessuno,2,7.0,5.0
1029,7,2012-10-27 00:00:00,2012-10-27 10:34:00,Nessuno,38,8.0,1.0
1058,7,2012-11-28 00:00:00,2012-11-28 10:26:00,Nessuno,38,8.0,1.0
1073,7,2012-12-15 00:00:00,2012-12-15 09:45:00,Nessuno,38,8.0,2.0
1082,7,2012-02-27 00:00:00,2012-02-27 17:15:00,,443,15.0,1.0
1083,7,2012-04-20 00:00:00,2012-04-20 13:15:00,,7,6.0,1.0
1099,7,2013-01-23 00:00:00,2013-01-23 16:13:00,,1440,10.0,1.0
1135,7,2013-04-06 00:00:00,2013-04-06 13:40:00,,7,6.0,1.0
1139,7,2013-04-17 00:00:00,2013-04-17 17:20:00,,13,12.0,1.0
1148,7,2013-04-22 00:00:00,2013-04-22 19:00:00,,13,12.0,1.0
1159,7,2013-04-27 00:00:00,2013-04-27 09:15:00,,15,15.0,1.0
1178,7,2013-05-08 14:43:08,2013-05-08 14:43:08,,14,12.0,1.0
1222,7,2013-06-01 00:00:00,2013-06-01 19:33:00,,13,12.0,2.0
1224,7,2013-06-03 00:00:00,2013-06-03 17:28:00,,13,12.0,1.0
1290,7,2013-07-13 15:01:12,2013-07-13 15:01:12,,7,6.0,1.0
1293,7,2013-07-14 14:53:12,2013-07-14 14:53:12,,7,6.0,1.0
1316,7,2013-07-21 16:31:04,2013-07-21 16:31:04,,7,6.0,1.0
1318,7,2013-07-22 09:17:14,2013-07-22 09:17:14,,7,6.0,1.0
1319,7,2013-07-22 00:00:00,2013-07-22 19:13:00,Nessuno,14,12.0,1.0
1334,7,2013-07-27 17:47:12,2013-07-27 17:47:12,,7,6.0,1.0
1373,7,2013-08-05 13:55:05,2013-08-05 13:55:05,,13,12.0,1.0
1384,7,2013-08-09 00:00:00,2013-08-09 09:46:00,Nessuno,11,13.0,1.0
1418,7,2013-08-19 00:00:00,2013-08-19 08:16:00,Nessuno,7,6.0,1.0
1419,7,2013-08-19 00:00:00,,Nessuno,7,6.0,1.0
1453,7,2013-09-05 00:00:00,2013-09-05 11:10:00,,7,6.0,1.0
1469,7,2013-09-10 00:00:00,2013-09-10 11:16:00,,30,11.0,1.0
1471,7,2013-09-11 00:00:00,2013-09-11 17:26:00,,7,6.0,1.0
1481,7,2013-08-19 00:00:00,2013-08-19 19:00:00,,7,6.0,1.0
1482,7,2013-09-19 00:00:00,2013-09-19 15:32:00,,1440,10.0,1.0
1488,7,2013-09-04 00:00:00,2013-09-04 17:42:00,,1440,10.0,1.0
1496,7,2013-10-01 00:00:00,2013-10-01 09:29:00,,36,5.0,1.0
1499,7,2013-10-04 00:00:00,2013-10-04 16:04:00,Nessuno,1453,7.0,1.0
1523,7,2013-10-24 00:00:00,2013-10-24 06:00:00,,31,17.0,1.0
1592,7,2014-01-29 08:45:46,2014-01-29 08:45:46,,23,5.0,1.0
1593,7,2014-01-31 10:59:27,2014-01-31 10:59:27,,23,5.0,1.0
1657,7,2014-04-07 00:00:00,2014-04-07 16:58:00,,1453,7.0,1.0
1663,7,2014-04-14 00:00:00,2014-04-14 05:50:00,,1447,16.0,1.0
1696,7,2014-05-03 00:00:00,2014-05-03 08:40:00,Nessuno,39,5.0,1.0
1708,7,2014-05-08 00:00:00,2014-05-08 07:43:00,Nessuno,2,7.0,1.0
1734,7,2014-05-21 00:00:00,2014-05-21 17:35:00,,7,6.0,1.0
1738,7,2014-05-25 00:00:00,2014-05-25 17:25:00,,7,6.0,1.0
1748,7,2014-05-30 00:00:00,2014-05-30 10:30:00,,13,12.0,1.0
1796,7,2014-06-17 00:00:00,2014-06-17 20:51:00,,13,12.0,1.0
1807,7,2014-06-19 00:00:00,2014-06-19 23:52:00,,25,13.0,1.0
1852,7,2014-07-09 17:38:16,2014-07-09 17:38:16,,7,6.0,1.0
1916,7,2014-07-29 16:37:43,2014-07-29 16:37:43,,14,12.0,1.0
1919,7,2014-07-30 10:25:05,2014-07-30 10:25:05,,2,7.0,2.0
1964,7,2014-08-10 00:00:00,2014-08-10 22:30:00,,48,11.0,1.0
1980,7,2014-08-18 00:00:00,2014-08-18 07:12:00,,23,5.0,1.0
2020,7,2014-09-04 11:09:05,2014-09-04 11:09:05,,7,6.0,1.0
2030,7,2014-09-08 11:46:43,2014-09-08 11:46:43,,23,5.0,1.0
2040,7,2014-09-11 09:03:06,2014-09-11 09:03:06,,38,8.0,1.0
2055,7,2014-09-17 00:00:00,2014-09-16 20:10:00,Nessuno,1440,10.0,1.0
2057,7,2014-09-17 18:23:34,2014-09-17 18:23:34,,7,6.0,1.0
2063,7,2014-09-19 14:48:17,2014-09-19 14:48:17,,7,6.0,1.0
2081,7,2014-10-01 00:00:00,2014-10-01 12:15:00,,38,8.0,1.0
2122,7,2014-11-06 00:00:00,2014-11-06 08:36:00,Atterraggio precauzionale,38,8.0,30.0
2131,7,2014-11-17 00:00:00,2014-11-17 12:21:00,,2,7.0,1.0
2148,7,2014-12-12 00:00:00,2014-12-12 12:57:00,,15,15.0,3.0
2161,7,2015-01-01 14:47:43,2015-01-01 14:47:43,,367,14.0,1.0
2165,7,2014-12-16 00:00:00,2014-12-16 12:30:00,,2,7.0,1.0
2171,7,2015-01-19 00:00:00,2015-01-10 10:30:00,,1447,16.0,1.0
2181,7,2015-01-26 14:47:21,2015-01-26 14:47:21,,7,6.0,1.0
2182,7,2015-01-27 14:47:35,2015-01-27 14:47:35,,23,5.0,1.0
2188,7,2015-02-03 00:00:00,2015-02-03 14:20:00,,7,6.0,1.0
2191,7,2015-02-09 17:00:19,2015-02-09 17:00:19,,23,5.0,1.0
2196,7,2015-02-22 00:00:00,2015-02-22 13:43:00,,38,8.0,3.0
2201,7,2015-02-27 00:00:00,2015-02-26 17:45:00,,7,6.0,1.0
2214,7,2015-03-02 00:00:00,2015-03-02 09:18:00,,38,8.0,1.0
2265,7,2015-03-09 07:38:04,2015-03-09 07:38:04,,38,8.0,1.0
2272,7,2015-03-26 10:40:16,2015-03-26 10:40:16,,38,8.0,1.0
2359,7,2015-05-17 12:46:53,2015-05-17 12:46:53,,13,12.0,1.0
