,id_aeroporto,data,A_data,A_effettoSulVolo,id_specie_volatile_a,id_gruppo,A_numeroVolatiliColpiti,A_partiColpite
840,7,2014-05-03 00:00:00,2014-05-03 08:40:00,Nessuno,39,5.0,1.0,Fuselage
843,7,2014-05-08 00:00:00,2014-05-08 07:26:00,Nessuno,2,7.0,1.0,
886,7,2014-06-16 00:00:00,2014-05-21 20:02:00,Nessuno,25,13.0,1.0,Radome
926,7,2014-07-07 00:00:00,2014-07-07 19:42:00,Nessuno,25,13.0,1.0,Nose
952,7,2014-06-13 00:00:00,2014-06-13 17:15:00,Nessuno,1440,10.0,,
989,7,2014-08-25 00:00:00,2014-07-11 08:51:00,Nessuno,25,13.0,,
990,7,2014-08-25 00:00:00,2014-07-28 12:42:00,Nessuno,14,12.0,1.0,
1007,7,2014-09-17 00:00:00,2014-09-16 20:00:00,Nessuno,1440,10.0,1.0,Wing/Rotor
1028,7,2014-11-06 00:00:00,2014-11-06 07:43:00,Atterraggio precauzionale,2,7.0,30.0,"Engine 1,Engine 2"
1032,7,2014-09-27 00:00:00,2014-09-27 18:32:00,Nessuno,25,13.0,,Radome
1125,7,2015-03-18 00:00:00,2015-03-14 20:56:00,Nessuno,25,13.0,1.0,Engine 2
1161,7,2015-05-04 00:00:00,2015-04-22 05:05:00,Nessuno,25,13.0,1.0,Tail
1217,7,2015-07-01 00:00:00,2015-07-01 07:58:00,Nessuno,7,6.0,1.0,
1294,7,2015-07-05 00:00:00,2015-07-05 06:17:00,Nessuno,14,12.0,1.0,Radome
1295,7,2015-07-14 00:00:00,2015-07-14 09:00:00,Nessuno,25,13.0,1.0,Radome
1464,7,2016-07-02 00:00:00,2016-07-02 11:42:00,Nessuno,14,12.0,1.0,Radome
1465,7,2016-08-18 00:00:00,2016-07-01 10:10:00,Nessuno,25,13.0,1.0,Radome
1476,7,2016-09-07 00:00:00,2016-08-06 09:25:00,Nessuno,14,12.0,1.0,Radome
1506,7,2016-11-12 00:00:00,2016-11-12 05:10:00,Nessuno,25,13.0,1.0,Engine 2
1523,7,2016-08-18 00:00:00,2016-08-18 16:30:00,Nessuno,25,13.0,1.0,Radome
1525,7,2016-09-07 00:00:00,2016-09-07 07:35:00,Nessuno,25,13.0,5.0,Nose
1543,7,2017-04-20 00:00:00,2017-04-20 15:18:00,Nessuno,7,6.0,1.0,Engine 1
1596,7,2017-06-19 00:00:00,2017-06-19 09:15:00,Nessuno,13,12.0,,Nose
1633,7,2017-07-28 00:00:00,2017-07-28 14:16:00,Nessuno,14,12.0,1.0,Radome
1636,7,2017-08-04 00:00:00,2017-08-04 18:43:00,Nessuno,14,12.0,1.0,Radome
1637,7,2017-08-05 00:00:00,2017-08-05 10:42:00,Nessuno,14,12.0,1.0,Radome
1638,7,2017-08-07 00:00:00,2017-08-07 09:58:00,Nessuno,14,12.0,2.0,Other
1641,7,2017-08-08 00:00:00,2017-08-08 18:08:00,Nessuno,14,12.0,,
1645,7,2017-08-12 00:00:00,2017-08-12 10:42:00,Nessuno,14,12.0,1.0,
1648,7,2017-08-21 00:00:00,2017-08-21 09:31:00,Nessuno,14,12.0,1.0,Windshield
1649,7,2017-08-21 00:00:00,2017-08-21 10:11:00,Nessuno,14,12.0,1.0,Landing gear
1659,7,2017-09-10 00:00:00,2017-09-10 13:23:00,Nessuno,14,12.0,1.0,Wing
